method,collision_rate,avg_safety_violations,min_distance_mean,min_distance_worst,mean_speed,avg_total_reward
Baseline,0.0,0.0,16.36714734488971,11.335735677678883,11.04615000000003,284.4045000000009
CBF,0.0,0.0,16.36714734488971,11.335735677678883,11.04615000000003,284.4045000000009
