method,collision,reached_target,arrival_time_s,num_steps,mean_speed,max_speed,mean_distance_front_m,min_distance_front_m,mean_abs_gap_error_to_soft_m,rmse_gap_error_to_soft_m,mean_gap_error_to_soft_m,min_hard_margin_m,safety_violation_rate,mean_soft_violation_m,max_soft_violation_m,energy_accel_sq,energy_positive_accel_sq,mean_abs_accel,accel_rms,jerk_abs_mean,jerk_rms,cbf_mean_correction,cbf_max_correction,cbf_intervention_rate
CDFS,False,True,181.0,1810,22.10008935480542,36.11111111111111,57.6868767639024,7.8981659128407955,37.151981849198194,92.78767128717527,36.737682419376135,-3.5298592189367923,0.009944751381215469,0.20714971491102646,9.411280937569366,404.77685161073146,203.10649144164742,1.156681615363067,1.4954384630416926,0.659984047577683,1.0201583682279018,0.0,0.0,0.0
PPO + CBF,False,True,181.6,1816,22.037097877576567,36.11111111111111,59.893793831105576,7.793513140757113,41.718863966392426,99.33681024528877,38.62178341110477,-2.771561225867492,0.07213656387665199,1.548540277643829,8.646416341980057,215.10617806438594,109.60409054384915,0.8222039325624378,1.0883498453241818,0.34538255699623366,0.6676747528981296,0.1169244027882199,3.4977659583091736,0.17290748898678415
