step,time,x_ego,v_ego,x_front,v_front,lane_front,x_cut_in,v_cut_in,lane_cut_in,front_type,front_id,distance_front,v_front_eff,gap_to_v1,gap_to_v2,safe_distance,soft_distance,hard_distance,soft_barrier_distance,hard_barrier_distance,target_gap,gap_error_to_target,gap_excess,soft_violation,hard_violation,front_accel_est,desired_closing_speed,closing_speed,a_ref,too_far,cut_in_happened,cut_in_active,cut_in_this_step,cut_in_left_this_step,cut_in_time,cut_in_leave_time,front_event_type,front_event_timer,cut_in_event_type,cut_in_event_timer,collision,safety_violation,reached_target,a_cmd,a_ego,prev_a_ego,delta_a_ego,a_front,a_cut_in,reward,a_nom,a_ppo_before_cbf,a_cbf_cmd,cbf_correction,abs_cbf_correction,use_cbf,method,scenario,energy_accel_sq_step,gap_error_to_soft
11.0,1.1,21.81370761492804,20.020258037554573,51.47901293337376,17.930707675983317,0.0,30.792254280010884,18.164623081247065,1.0,front,1.0,29.66530531844572,17.930707675983317,29.66530531844572,8.978546665082842,19.101705184104,19.101705184104,12.678730602401105,19.101705184104,12.678730602401105,20.601705184104,9.06360013434172,9.06360013434172,0.0,0.0,0.9437857420595108,0.1812720026868343,2.089550361571256,-0.5819926253785741,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4349201917648315,0.4196036908632834,0.4144981905627674,0.005105500300516,0.9437857420595056,0.7884537432330047,-2.015428631119739,0.4349201917648315,0.4349201917648315,0.4349201917648315,0.0,0.0,True,PPO + CBF,normal,0.17606725738608991,
12.0,1.2000000000000002,23.819967928042505,20.06260313114464,53.2818276672556,18.0281473388184,0.0,32.61848446259592,18.26230182585033,1.0,front,1.0,29.461859739213093,18.0281473388184,29.461859739213093,8.79851653455341,19.072017671013025,19.072017671013025,12.649475729761615,19.072017671013025,12.649475729761615,20.572017671013025,8.889842068200068,8.889842068200068,0.0,0.0,0.9743966283508244,0.1777968413640013,2.0344557923262414,-0.5518930815384017,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4349926710128784,0.4234509359006821,0.4196036908632834,0.0038472450373987,0.9743966283508064,0.9767874460326198,-1.9410763670860265,0.4349926710128784,0.4349926710128784,0.4349926710128784,0.0,0.0,True,PPO + CBF,normal,0.1793106951151636,
13.0,1.3,25.8304926974814,20.10524769438896,55.08934832537222,18.0752065811662,0.0,34.45134649938879,18.32862036792877,1.0,front,1.0,29.25885562789082,18.0752065811662,29.25885562789082,8.62085380190739,19.093189729856142,19.093189729856142,12.660869583614348,19.093189729856142,12.660869583614348,20.593189729856142,8.665665898034678,8.665665898034678,0.0,0.0,0.4705924234779601,0.1733133179606935,2.030041113222765,-0.678883905457286,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4354297220706939,0.4264456324431851,0.4234509359006821,0.0029946965425029,0.4705924234779652,0.6631854207844698,-1.9847670072431491,0.4354297220706939,0.4354297220706939,0.4354297220706939,0.0,0.0,True,PPO + CBF,normal,0.18185587742986814,
14.0,1.4,27.845289681983164,20.147969845017627,56.90308469571652,18.13736370344297,0.0,36.29227870193722,18.4093220254843,1.0,front,1.0,29.05779501373335,18.13736370344297,29.05779501373335,8.446989019954056,19.09938804858524,19.09938804858524,12.660274359015895,19.09938804858524,12.660274359015895,20.59938804858524,8.458406965148114,8.458406965148114,0.0,0.0,0.6215712227677272,0.1691681393029623,2.010606141574659,-0.6351914639871652,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4295491278171539,0.4272215062866773,0.4264456324431851,0.0007758738434922,0.6215712227677366,0.8070165755552627,-4.68233877494964,0.4295491278171539,0.4295491278171539,0.4295491278171539,0.0,0.0,True,PPO + CBF,normal,0.18251821543385746,
15.0,1.5,29.864354431987923,20.1906475000476,58.72121804648462,18.1813335076811,0.0,38.13009867740611,18.378199754688907,1.0,front,1.0,28.8568636144967,18.1813335076811,28.8568636144967,8.265744245418187,19.12370249239505,19.12370249239505,12.674177818909856,19.12370249239505,12.674177818909856,20.62370249239505,8.233161122101645,8.233161122101645,0.0,0.0,0.439698042381309,0.1646632224420329,2.009313992366497,-0.6831191108212243,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4254416823387146,0.4267765502996866,0.4272215062866773,-0.0004449559869906,0.4396980423813097,-0.3112227079539164,-4.66100530618323,0.4254416823387146,0.4254416823387146,0.4254416823387146,0.0,0.0,True,PPO + CBF,normal,0.18213822388570092,
16.0,1.6,31.887667573621595,20.233131416336715,60.54750508530525,18.26287038820625,0.0,39.96605774735759,18.359590699514804,1.0,front,1.0,28.65983751168365,18.26287038820625,28.65983751168365,8.078390173735993,19.110139877932497,19.110139877932497,12.657804818222225,19.110139877932497,12.657804818222225,20.610139877932497,8.049697633751155,8.049697633751155,0.0,0.0,0.8153688052514951,0.1609939526750231,1.9702610281304656,-0.5741043432901952,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4190270006656647,0.4248391628911812,0.4267765502996866,-0.0019373874085054,0.8153688052515061,-0.1860905517410349,-4.456790305416022,0.4190270006656647,0.4190270006656647,0.4190270006656647,0.0,0.0,True,PPO + CBF,normal,0.18048831432607956,
17.0,1.7000000000000002,33.91521024038972,20.27542666768124,62.379787809359954,18.322827240547063,0.0,41.7980053254924,18.319475781348174,1.0,front,1.0,28.464577568970235,18.322827240547063,28.464577568970235,7.882795085102686,19.11785542774292,19.11785542774292,12.65847887539577,19.11785542774292,12.65847887539577,20.61785542774292,7.846722141227318,7.846722141227318,0.0,0.0,0.5995685234081449,0.1569344428245463,1.9525994271341744,-0.6228468624517736,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4172925651073456,0.4229525134452223,0.4248391628911812,-0.0018866494459588,0.5995685234081511,-0.4011491816662689,-4.408556701926947,0.4172925651073456,0.4172925651073456,0.4172925651073456,0.0,0.0,True,PPO + CBF,normal,0.17888882862963093,
18.0,1.8,35.9469574510654,20.317472106756828,64.21440792382181,18.346201144618497,0.0,43.63358501590915,18.35579690416745,1.0,front,1.0,28.26745047275641,18.346201144618497,28.26745047275641,7.686627564843746,19.161754226192425,19.161754226192425,12.688132007075552,19.161754226192425,12.688132007075552,20.661754226192425,7.605696246563983,7.605696246563983,0.0,0.0,0.2337390407143402,0.1521139249312796,1.9712709621383304,-0.7259602734550498,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.412960022687912,0.4204543907558947,0.4229525134452223,-0.0024981226893275,0.2337390407143379,0.3632112281927356,-4.462056473653757,0.412960022687912,0.412960022687912,0.412960022687912,0.0,0.0,True,PPO + CBF,normal,0.17678189470591057,
19.0,1.9,37.98286823838807,20.359107873226638,66.05083967856578,18.364317547439637,0.0,45.470216200990784,18.36631185081633,1.0,front,1.0,28.067971440177715,18.364317547439637,28.067971440177715,7.487347962602719,19.21025504972298,19.21025504972298,12.721520016258925,19.21025504972298,12.721520016258925,20.71025504972298,7.357716390454733,7.357716390454733,0.0,0.0,0.1811640282113558,0.1471543278090946,1.994790325787001,-0.7530354682801725,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.4040674865245819,0.4163576646980665,0.4204543907558947,-0.0040967260578281,0.1811640282113517,0.1051494664887875,-4.459471147465337,0.4040674865245819,0.4040674865245819,0.4040674865245819,0.0,0.0,True,PPO + CBF,normal,0.1733537049528276,
20.0,2.0,40.022887833590666,20.40019595202601,67.89213811458897,18.41298436023193,0.0,47.302764643019806,18.325484420290213,1.0,front,1.0,27.86925028099831,18.41298436023193,27.86925028099831,7.27987680942914,19.22732916300968,19.22732916300968,12.729837856644364,19.22732916300968,12.729837856644364,20.72732916300968,7.141921117988627,7.141921117988627,0.0,0.0,0.4866681279230178,0.1428384223597725,1.9872115917940756,-0.6761622492337329,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3944501578807831,0.4108807879937456,0.4163576646980665,-0.0054768767043208,0.486668127923031,-0.4082743052611938,-4.31996155370928,0.3944501578807831,0.3944501578807831,0.3944501578807831,0.0,0.0,True,PPO + CBF,normal,0.16882302194236132,
