step,time,x_ego,v_ego,x_front,v_front,distance,safe_distance,collision,safety_violation,a_ego,a_front,reward,a_nom,use_cbf
1,0.1,2.0100000000000002,20.1,31.804406489868843,18.044064898688433,29.79440648986884,15.05,False,False,1.0,0.4406489868843162,1.9100000000000001,1.0,False
2,0.2,4.030000000000001,20.200000000000003,33.57485963119032,17.704531413214802,29.54485963119032,15.100000000000001,False,False,1.0,-3.3953348547363205,1.9200000000000004,1.0,False
3,0.30000000000000004,6.060000000000002,20.300000000000004,35.33715954440718,17.622999132168562,29.277159544407176,15.150000000000002,False,False,1.0,-0.8153228104624044,1.9300000000000006,1.0,False
4,0.4,8.100000000000003,20.400000000000006,37.096370672164895,17.59211127757717,28.996370672164893,15.200000000000003,False,False,1.0,-0.3088785459139045,1.9400000000000004,1.0,False
5,0.5,10.150000000000004,20.500000000000007,38.85635813460268,17.599874624377843,28.706358134602674,15.250000000000004,False,False,1.0,0.07763346800671389,1.9500000000000006,1.0,False
6,0.6000000000000001,12.210000000000004,20.60000000000001,40.6200499870484,17.636918524457194,28.410049987048392,15.300000000000004,False,False,1.0,0.370439000793519,1.9600000000000009,1.0,False
7,0.7000000000000001,14.280000000000005,20.70000000000001,42.39130418822194,17.712542011735383,28.111304188221933,15.350000000000005,False,False,1.0,0.7562348727818908,1.970000000000001,1.0,False
8,0.8,16.360000000000007,20.80000000000001,44.135967739599046,17.446635513771064,27.77596773959904,15.400000000000006,False,False,1.0,-2.6590649796431958,1.9800000000000013,1.0,False
9,0.9,18.450000000000006,20.900000000000013,45.88180508754507,17.458373479460214,27.43180508754506,15.450000000000006,False,False,1.0,0.11737965689150331,1.990000000000001,1.0,False
10,1.0,20.550000000000008,21.000000000000014,47.62160446527279,17.39799377727719,27.07160446527278,15.500000000000007,False,False,1.0,-0.6037970218302424,2.0000000000000013,1.0,False
11,1.1,22.66000000000001,21.100000000000016,49.3707690745149,17.49164609242107,26.710769074514886,15.550000000000008,False,False,1.0,0.936523151438795,2.0100000000000016,1.0,False
12,1.2000000000000002,24.780000000000012,21.200000000000017,51.12378013607039,17.530110615554936,26.343780136070375,15.600000000000009,False,False,1.0,0.38464523133862816,2.020000000000002,1.0,False
13,1.3,26.910000000000014,21.30000000000002,52.88468333089596,17.609031948255705,25.974683330895946,15.65000000000001,False,False,1.0,0.7892133270076946,2.030000000000002,1.0,False
14,1.4000000000000001,29.050000000000015,21.40000000000002,54.60636762138619,17.216842904902283,25.556367621386176,15.70000000000001,False,False,1.0,-3.9218904335342355,2.040000000000002,1.0,False
15,1.5,31.200000000000017,21.50000000000002,56.33561476194501,17.292471405588167,25.135614761944993,15.75000000000001,False,False,1.0,0.7562850068588263,2.050000000000002,1.0,False
16,1.6,33.36000000000002,21.600000000000023,58.033284055003925,16.976692930589177,24.673284055003904,15.800000000000011,False,False,1.0,-3.1577847499898954,2.0600000000000023,1.0,False
17,1.7000000000000002,35.520000000000024,21.600000000000023,59.7316166537623,16.98332598758378,24.211616653762277,15.800000000000011,False,False,0.0,0.06633056994603415,2.1600000000000024,0.0,False
18,1.8,37.68000000000003,21.600000000000023,61.4262595651408,16.94642911378499,23.746259565140775,15.800000000000011,False,False,0.0,-0.3689687379878741,2.1600000000000024,0.0,False
19,1.9000000000000001,39.84000000000003,21.600000000000023,63.12759498995725,17.013354248164465,23.28759498995722,15.800000000000011,False,False,0.0,0.6692513437947458,2.1600000000000024,0.0,False
20,2.0,42.000000000000036,21.600000000000023,64.8039333010726,16.76338311115346,22.80393330107257,15.800000000000011,False,False,0.0,-2.499711370110065,2.1600000000000024,0.0,False
21,2.1,44.16000000000004,21.600000000000023,66.48523492527555,16.813016242029427,22.32523492527551,15.800000000000011,False,False,0.0,0.4963313087596788,2.1600000000000024,0.0,False
22,2.2,46.32000000000004,21.600000000000023,68.17232213604753,16.870872107719723,21.852322136047484,15.800000000000011,False,False,0.0,0.578558656902977,2.1600000000000024,0.0,False
23,2.3000000000000003,48.48000000000005,21.600000000000023,69.85836721734302,16.860450812954905,21.37836721734297,15.800000000000011,False,False,0.0,-0.10421294764818967,2.1600000000000024,0.0,False
24,2.4000000000000004,50.64000000000005,21.600000000000023,71.54028458160597,16.819173642629643,20.900284581605924,15.800000000000011,False,False,0.0,-0.412771703252641,2.1600000000000024,0.0,False
25,2.5,52.800000000000054,21.600000000000023,73.2148025173113,16.7451793570533,20.414802517311244,15.800000000000011,False,False,0.0,-0.7399428557634447,2.1600000000000024,0.0,False
26,2.6,54.96000000000006,21.600000000000023,74.86289716367543,16.480946463641278,19.90289716367537,15.800000000000011,False,False,0.0,-2.642328934120218,2.1600000000000024,0.0,False
27,2.7,57.10000000000006,21.400000000000023,76.506302743227,16.43405579551572,19.406302743226938,15.700000000000012,False,False,-2.0,-0.4689066812555476,1.7400000000000024,-2.0,False
28,2.8000000000000003,59.22000000000006,21.200000000000024,78.14077557368091,16.34472830453914,18.92077557368085,15.600000000000012,False,False,-2.0,-0.8932749097658392,1.7200000000000024,-2.0,False
29,2.9000000000000004,61.320000000000064,21.000000000000025,79.76818297563294,16.274074019520302,18.448182975632875,15.500000000000012,False,False,-2.0,-0.7065428501883797,1.7000000000000028,-2.0,False
30,3.0,63.40000000000007,20.800000000000026,81.39958554478538,16.31402569152449,17.99958554478531,15.400000000000013,False,False,-2.0,0.39951672004186234,1.6800000000000028,-2.0,False
31,3.1,65.46000000000008,20.600000000000026,83.02926923369422,16.296836889088404,17.569269233694143,15.300000000000013,False,False,-2.0,-0.17188802436086337,1.6600000000000028,-2.0,False
32,3.2,67.50000000000009,20.400000000000027,84.6572365079936,16.279672742993785,17.157236507993517,15.200000000000014,False,False,-2.0,-0.1716414609461947,1.6400000000000028,-2.0,False
33,3.3000000000000003,69.52000000000008,20.200000000000028,86.25592171041129,15.986852024176887,16.735921710411205,15.100000000000014,False,False,-2.0,-2.928207188168977,1.6200000000000028,-2.0,False
34,3.4000000000000004,71.52000000000008,20.00000000000003,87.85490469507015,15.989829846588549,16.334904695070065,15.000000000000014,False,False,-2.0,0.029778224116617125,1.6000000000000032,-2.0,False
35,3.5,73.50000000000009,19.80000000000003,89.45561878053904,16.00714085468895,15.955618780538956,14.900000000000015,False,False,-2.0,0.17311008100398584,1.5800000000000032,-2.0,False
36,3.6,75.4600000000001,19.60000000000003,91.04908236009086,15.934635795518195,15.58908236009077,14.800000000000015,False,False,-2.0,-0.725050591707525,1.5600000000000032,-2.0,False
37,3.7,77.40000000000009,19.40000000000003,92.64869376541688,15.9961140532601,15.248693765416789,14.700000000000015,False,False,-2.0,0.6147825774190476,1.5400000000000031,-2.0,False
38,3.8000000000000003,79.32000000000009,19.20000000000003,94.24161225468522,15.929184892683487,14.92161225468513,14.600000000000016,False,False,-2.0,-0.6692916057661344,1.5200000000000031,-2.0,False
39,3.9000000000000004,81.2200000000001,19.000000000000032,95.83148606114848,15.898738064632589,14.611486061148383,14.500000000000016,False,False,-2.0,-0.3044682805089869,1.500000000000003,-2.0,False
40,4.0,83.10000000000011,18.800000000000033,97.42587982731875,15.943937661702678,14.325879827318644,14.400000000000016,False,True,-2.0,0.4519959707009029,-8.519999999999998,-2.0,False
41,4.1000000000000005,84.96000000000011,18.600000000000033,99.02274703763013,15.9686721031138,14.062747037630018,14.300000000000017,False,True,-2.0,0.24734441411121777,-8.539999999999997,-2.0,False
42,4.2,86.80000000000011,18.400000000000034,100.61659221478106,15.938451771509369,13.816592214780954,14.200000000000017,False,True,-2.0,-0.30220331604431494,-8.559999999999997,-2.0,False
