method,collision_rate,avg_safety_violations,avg_unsafe_lane_change_attempts,lane_change_rate,avg_min_distance_front,mean_speed,avg_total_reward
Baseline,0.22,62.96,0.0,0.0,2.6499321478327635,13.826278466799335,-381.0227999999993
Safety-filtered,0.0,57.86,0.0,1.0,3.905860308983331,18.586543333333427,-83.76619999999717
