step,time,x_ego,v_ego,x_front,v_front,distance,safe_distance,collision,safety_violation,a_ego,a_front,reward,a_nom,use_cbf
1,0.1,2.0,20.0,23.804406489868843,18.044064898688433,21.804406489868843,15.0,False,False,0.0,0.4406489868843162,2.0,0.0,False
2,0.2,4.0,20.0,25.57485963119032,17.704531413214802,21.57485963119032,15.0,False,False,0.0,-3.3953348547363205,2.0,0.0,False
3,0.30000000000000004,6.0,20.0,27.307159544407178,17.32299913216856,21.307159544407178,15.0,False,False,0.0,-3.8153228104624044,2.0,0.0,False
4,0.4,8.0,20.0,29.036370672164896,17.29211127757717,21.036370672164896,15.0,False,False,0.0,-0.3088785459139045,2.0,0.0,False
5,0.5,10.0,20.0,30.76635813460268,17.299874624377843,20.76635813460268,15.0,False,False,0.0,0.07763346800671389,2.0,0.0,False
6,0.6000000000000001,12.0,20.0,32.5000499870484,17.336918524457193,20.5000499870484,15.0,False,False,0.0,0.370439000793519,2.0,0.0,False
7,0.7000000000000001,14.0,20.0,34.24130418822194,17.412542011735383,20.24130418822194,15.0,False,False,0.0,0.7562348727818908,2.0,0.0,False
8,0.8,16.0,20.0,35.955967739599046,17.146635513771063,19.955967739599046,15.0,False,False,0.0,-2.6590649796431958,2.0,0.0,False
9,0.9,17.98,19.8,37.67180508754507,17.158373479460213,19.691805087545067,14.9,False,False,-2.0,0.11737965689150331,1.58,-2.0,False
10,1.0,19.94,19.6,39.351604465272786,16.79799377727719,19.411604465272784,14.8,False,False,-2.0,-3.6037970218302426,1.56,-2.0,False
11,1.1,21.880000000000003,19.400000000000002,41.04076907451489,16.89164609242107,19.16076907451489,14.700000000000001,False,False,-2.0,0.936523151438795,1.5400000000000005,-2.0,False
12,1.2000000000000002,23.800000000000004,19.200000000000003,42.733780136070386,16.930110615554934,18.933780136070382,14.600000000000001,False,False,-2.0,0.38464523133862816,1.5200000000000005,-2.0,False
13,1.3,25.700000000000003,19.000000000000004,44.43468333089596,17.009031948255704,18.734683330895955,14.500000000000002,False,False,-2.0,0.7892133270076946,1.5000000000000004,-2.0,False
14,1.4000000000000001,27.580000000000002,18.800000000000004,46.096367621386186,16.61684290490228,18.516367621386184,14.400000000000002,False,False,-2.0,-3.9218904335342355,1.4800000000000004,-2.0,False
15,1.5,29.44,18.600000000000005,47.765614761945,16.692471405588165,18.325614761945,14.300000000000002,False,False,-2.0,0.7562850068588263,1.4600000000000004,-2.0,False
16,1.6,31.28,18.400000000000006,49.40328405500392,16.376692930589176,18.12328405500392,14.200000000000003,False,False,-2.0,-3.1577847499898954,1.4400000000000008,-2.0,False
17,1.7000000000000002,33.1,18.200000000000006,51.0416166537623,16.383325987583778,17.941616653762296,14.100000000000003,False,False,-2.0,0.06633056994603415,1.4200000000000008,-2.0,False
18,1.8,34.900000000000006,18.000000000000007,52.676259565140796,16.34642911378499,17.77625956514079,14.000000000000004,False,False,-2.0,-0.3689687379878741,1.4000000000000008,-2.0,False
19,1.9000000000000001,36.68000000000001,17.800000000000008,54.31759498995724,16.413354248164463,17.637594989957236,13.900000000000004,False,False,-2.0,0.6692513437947458,1.3800000000000008,-2.0,False
20,2.0,38.440000000000005,17.60000000000001,55.933933301072585,16.163383111153458,17.49393330107258,13.800000000000004,False,False,-2.0,-2.499711370110065,1.3600000000000008,-2.0,False
21,2.1,40.18000000000001,17.40000000000001,57.55523492527553,16.213016242029425,17.37523492527552,13.700000000000005,False,False,-2.0,0.4963313087596788,1.3400000000000012,-2.0,False
22,2.2,41.900000000000006,17.20000000000001,59.1823221360475,16.270872107719722,17.282322136047497,13.600000000000005,False,False,-2.0,0.578558656902977,1.3200000000000012,-2.0,False
23,2.3000000000000003,43.60000000000001,17.00000000000001,60.778367217342996,15.960450812954903,17.178367217342988,13.500000000000005,False,False,-2.0,-3.1042129476481897,1.3000000000000012,-2.0,False
24,2.4000000000000004,45.28000000000001,16.80000000000001,62.37028458160596,15.919173642629639,17.09028458160595,13.400000000000006,False,False,-2.0,-0.412771703252641,1.2800000000000011,-2.0,False
25,2.5,46.94000000000001,16.600000000000012,63.954802517311286,15.845179357053295,17.014802517311274,13.300000000000006,False,False,-2.0,-0.7399428557634447,1.2600000000000011,-2.0,False
26,2.6,48.58000000000001,16.400000000000013,65.51289716367542,15.580946463641274,16.932897163675406,13.200000000000006,False,False,-2.0,-2.642328934120218,1.2400000000000015,-2.0,False
27,2.7,50.20000000000002,16.200000000000014,67.06630274322698,15.53405579551572,16.866302743226967,13.100000000000007,False,False,-2.0,-0.4689066812555476,1.2200000000000015,-2.0,False
28,2.8000000000000003,51.80000000000002,16.000000000000014,68.6107755736809,15.444728304539135,16.81077557368088,13.000000000000007,False,False,-2.0,-0.8932749097658392,1.2000000000000015,-2.0,False
29,2.9000000000000004,53.38000000000002,15.800000000000015,70.14818297563292,15.374074019520297,16.768182975632904,12.900000000000007,False,False,-2.0,-0.7065428501883797,1.1800000000000015,-2.0,False
30,3.0,54.94000000000002,15.600000000000016,71.68958554478537,15.414025691524483,16.749585544785354,12.800000000000008,False,False,-2.0,0.39951672004186234,1.1600000000000015,-2.0,False
31,3.1,56.48000000000002,15.400000000000016,73.19926923369421,15.096836889088395,16.71926923369419,12.700000000000008,False,False,-2.0,-3.1718880243608636,1.140000000000002,-2.0,False
32,3.2,58.00000000000002,15.200000000000017,74.70723650799358,15.079672742993775,16.707236507993564,12.600000000000009,False,False,-2.0,-0.1716414609461947,1.1200000000000019,-2.0,False
33,3.3000000000000003,59.50000000000002,15.000000000000018,76.18592171041128,14.786852024176877,16.685921710411257,12.500000000000009,False,False,-2.0,-2.928207188168977,1.1000000000000019,-2.0,False
34,3.4000000000000004,60.980000000000025,14.800000000000018,77.66490469507013,14.789829846588539,16.68490469507011,12.40000000000001,False,False,-2.0,0.029778224116617125,1.0800000000000018,-2.0,False
35,3.5,62.440000000000026,14.60000000000002,79.14561878053902,14.807140854688937,16.705618780538998,12.30000000000001,False,False,-2.0,0.17311008100398584,1.0600000000000018,-2.0,False
36,3.6,63.88000000000003,14.40000000000002,80.61908236009084,14.734635795518184,16.739082360090812,12.20000000000001,False,False,-2.0,-0.725050591707525,1.0400000000000023,-2.0,False
37,3.7,65.30000000000004,14.20000000000002,82.06869376541685,14.496114053260088,16.768693765416813,12.10000000000001,False,False,-2.0,-2.3852174225809524,1.0200000000000022,-2.0,False
