collision,num_safety_violations,min_distance,mean_speed,total_reward,mean_abs_acceleration,seed,method
False,0,9.157471761118359,11.788141570047483,344.1754305285304,0.4977297999430448,0,RL
False,0,7.451520631212588,10.258257502362142,293.6689735870997,0.5840012118375549,1,RL
False,0,10.001500589806653,12.134747111213397,355.4762364642859,0.45453467753094934,2,RL
False,0,8.269020978716242,11.739728563429798,342.0990939756048,0.5171610787790268,3,RL
False,0,9.954446740277547,13.13168788136262,386.2533171805021,0.4320951322559267,4,RL
False,0,8.64757654890019,11.451252079101277,333.2086329710744,0.5133665267921363,5,RL
False,0,8.084331104398018,11.270564143836483,327.2447460071646,0.5490362758561969,6,RL
False,0,7.920887327373066,11.224486021199267,324.75043405402755,0.5544060323992744,7,RL
False,0,8.03901424322629,11.767146805674756,342.25534723701855,0.5432852926570922,8,RL
False,0,9.270745677321827,11.957644755489198,349.32459928822817,0.48093560739420355,9,RL
False,0,6.520974694886547,10.26344289285596,294.260918046932,0.6283063551969826,10,RL
False,0,9.057480516373914,12.072573971344148,351.71633886040024,0.49662443433577813,11,RL
False,0,9.132128531680053,11.769557782096792,342.88392432682247,0.4927930361994853,12,RL
False,0,7.551860523044155,8.456378721000922,238.01107645832803,0.6688669539801776,13,RL
False,0,9.724757431504088,12.651347642439427,371.1368121746185,0.44865268165556094,14,RL
False,0,7.262454270252192,9.99654730251431,285.76408376526143,0.5886144135488818,15,RL
False,0,6.930785089064045,10.151479583075261,291.24139859849475,0.612729871775955,16,RL
False,0,10.457112006251577,14.177779558083966,417.5858094413247,0.4102380577319612,17,RL
False,0,9.597316839863993,13.011116803098476,382.4272515055875,0.453176760909458,18,RL
False,0,7.606712083938021,10.310502987248356,296.2832801434856,0.612584597398527,19,RL
False,0,8.03925776000193,13.03101383259846,380.5725692752883,0.514711809004657,20,RL
False,0,9.521478771351951,12.159048803453343,355.8067816357704,0.4678153477671246,21,RL
False,0,7.831729799118591,11.76551547124888,342.1493920647164,0.548221237808466,22,RL
False,0,6.720349150214588,8.808946911166412,248.0654877074391,0.7028192827804014,23,RL
False,0,8.743746453182723,11.752280328218815,342.78213719059,0.51809883646667,24,RL
False,0,7.663512549577888,10.594050106097004,305.67090762973606,0.5910954967979342,25,RL
