method,collision_rate,avg_safety_violations,min_distance_mean,min_distance_worst,mean_speed,avg_total_reward,mean_abs_acceleration
RL,0.0,0.0,8.712784957816229,5.760633492736673,11.522918897752982,334.97887409828667,0.5236166085893909
RL + CBF,0.0,0.0,12.222054710037945,9.39654512544817,11.407591403502492,326.6080685515688,0.5754729243153086
