step,time,x_ego,v_ego,x_front,v_front,distance,safe_distance,collision,safety_violation,a_ego,a_front,reward,a_nom,use_cbf,method
1,0.1,1.9878852100670337,19.878852100670336,23.804406489868843,18.044064898688433,21.816521279801808,14.939426050335168,False,False,-1.2114789932966232,0.4406489868843162,1.8411170749471337,-1.2114789932966232,True,RL + CBF
2,0.2,3.9641680711507794,19.76282861083746,25.57485963119032,17.704531413214802,21.61069156003954,14.88141430541873,False,False,-1.1602348983287811,-3.3953348547363205,1.8416683591537462,-1.1602348983287811,True,RL + CBF
3,0.30000000000000004,5.927874392420053,19.637063212692738,27.307159544407178,17.32299913216856,21.379285151987126,14.818531606346369,False,False,-1.2576539814472198,-3.8153228104624044,1.8055369675642694,-1.2576539814472198,True,RL + CBF
4,0.4,7.878040764629841,19.501663722097874,29.036370672164896,17.29211127757717,21.158329907535055,14.750831861048937,False,False,-1.353994905948639,-0.3088785459139045,1.7668361516763011,-1.353994905948639,True,RL + CBF
5,0.5,9.814843683838845,19.368029192090034,30.76635813460268,17.299874624377843,20.951514450763835,14.684014596045017,False,False,-1.336345300078392,0.07763346800671389,1.7582210431048426,-1.336345300078392,True,RL + CBF
6,0.6000000000000001,11.73860565148294,19.237619676440953,32.5000499870484,17.336918524457193,20.761444335565457,14.618809838220477,False,False,-1.3040951564908028,0.370439000793519,1.7536955499258182,-1.3040951564908028,True,RL + CBF
7,0.7000000000000001,13.649788763895632,19.111831124126912,34.24130418822194,17.412542011735383,20.591515424326307,14.555915562063456,False,False,-1.2578855231404305,0.7562348727818908,1.7529555134800638,-1.2578855231404305,True,RL + CBF
8,0.8,15.54906238242984,18.992736185342075,35.955967739599046,17.146635513771063,20.406905357169208,14.496368092671037,False,False,-1.1909493878483772,-2.6590649796431958,1.7574375740925652,-1.1909493878483772,True,RL + CBF
9,0.9,17.43575013265014,18.86687750220299,37.67180508754507,17.158373479460213,20.23605495489493,14.433438751101495,False,False,-1.2585868313908577,0.11737965689150331,1.728283669005251,-1.2585868313908577,True,RL + CBF
10,1.0,19.310277095958593,18.745269633084536,39.351604465272786,16.79799377727719,20.041327369314192,14.372634816542268,False,False,-1.2160786911845207,-3.6037970218302426,1.7266422249931481,-1.2160786911845207,True,RL + CBF
11,1.1,21.171655123978855,18.61378028020263,41.04076907451489,16.89164609242107,19.869113950536036,14.306890140101315,False,False,-1.3148935288190842,0.936523151438795,1.6884835288072326,-1.3148935288190842,True,RL + CBF
12,1.2000000000000002,23.020599748492245,18.48944624513388,42.733780136070386,16.930110615554934,19.71318038757814,14.24472312256694,False,False,-1.2433403506875038,0.38464523133862816,1.6943551017486156,-1.2433403506875038,True,RL + CBF
13,1.3,24.85768400188536,18.37084253393114,44.43468333089596,17.009031948255704,19.576999329010597,14.18542126696557,False,False,-1.1860371120274067,0.7892133270076946,1.6964158502824829,-1.1860371120274067,True,RL + CBF
