step,time,x_ego,v_ego,x_front,v_front,distance,safe_distance,collision,safety_violation,a_ego,a_front,reward,a_nom,use_cbf,method
1,0.1,1.9878852100670337,19.878852100670336,23.804406489868843,18.044064898688433,21.816521279801808,14.939426050335168,False,False,-1.2114789932966232,0.4406489868843162,1.8411170749471337,-1.2114789932966232,False,RL
2,0.2,3.9641680711507794,19.76282861083746,25.57485963119032,17.704531413214802,21.61069156003954,14.88141430541873,False,False,-1.1602348983287811,-3.3953348547363205,1.8416683591537462,-1.1602348983287811,False,RL
3,0.30000000000000004,5.927874392420053,19.637063212692738,27.307159544407178,17.32299913216856,21.379285151987126,14.818531606346369,False,False,-1.2576539814472198,-3.8153228104624044,1.8055369675642694,-1.2576539814472198,False,RL
4,0.4,7.878040764629841,19.501663722097874,29.036370672164896,17.29211127757717,21.158329907535055,14.750831861048937,False,False,-1.353994905948639,-0.3088785459139045,1.7668361516763011,-1.353994905948639,False,RL
5,0.5,9.814843683838845,19.368029192090034,30.76635813460268,17.299874624377843,20.951514450763835,14.684014596045017,False,False,-1.336345300078392,0.07763346800671389,1.7582210431048426,-1.336345300078392,False,RL
6,0.6000000000000001,11.73860565148294,19.237619676440953,32.5000499870484,17.336918524457193,20.761444335565457,14.618809838220477,False,False,-1.3040951564908028,0.370439000793519,1.7536955499258182,-1.3040951564908028,False,RL
7,0.7000000000000001,13.649788763895632,19.111831124126912,34.24130418822194,17.412542011735383,20.591515424326307,14.555915562063456,False,False,-1.2578855231404305,0.7562348727818908,1.7529555134800638,-1.2578855231404305,False,RL
8,0.8,15.54906238242984,18.992736185342075,35.955967739599046,17.146635513771063,20.406905357169208,14.496368092671037,False,False,-1.1909493878483772,-2.6590649796431958,1.7574375740925652,-1.1909493878483772,False,RL
9,0.9,17.43575013265014,18.86687750220299,37.67180508754507,17.158373479460213,20.23605495489493,14.433438751101495,False,False,-1.2585868313908577,0.11737965689150331,1.728283669005251,-1.2585868313908577,False,RL
10,1.0,19.310277095958593,18.745269633084536,39.351604465272786,16.79799377727719,20.041327369314192,14.372634816542268,False,False,-1.2160786911845207,-3.6037970218302426,1.7266422249931481,-1.2160786911845207,False,RL
11,1.1,21.171655123978855,18.61378028020263,41.04076907451489,16.89164609242107,19.869113950536036,14.306890140101315,False,False,-1.3148935288190842,0.936523151438795,1.6884835288072326,-1.3148935288190842,False,RL
12,1.2000000000000002,23.020599748492245,18.48944624513388,42.733780136070386,16.930110615554934,19.71318038757814,14.24472312256694,False,False,-1.2433403506875038,0.38464523133862816,1.6943551017486156,-1.2433403506875038,False,RL
13,1.3,24.85768400188536,18.37084253393114,44.43468333089596,17.009031948255704,19.576999329010597,14.18542126696557,False,False,-1.1860371120274067,0.7892133270076946,1.6964158502824829,-1.1860371120274067,False,RL
14,1.4000000000000001,26.683724862672396,18.260408607870342,46.096367621386186,16.61684290490228,19.41264275871379,14.130204303935171,False,False,-1.1043392606079578,-3.9218904335342355,1.7040843405350212,-1.1043392606079578,False,RL
15,1.5,28.497409312985845,18.13684450313449,47.765614761945,16.692471405588165,19.268205448959158,14.068422251567245,False,False,-1.2356410473585129,0.7562850068588263,1.6610035705217248,-1.2356410473585129,False,RL
16,1.6,30.299504376538106,18.020950635522606,49.40328405500392,16.376692930589176,19.103779678465816,14.010475317761303,False,False,-1.1589386761188507,-3.1577847499898954,1.6677811780518494,-1.1589386761188507,False,RL
17,1.7000000000000002,32.0890858508274,17.895814742892984,51.0416166537623,16.383325987583778,18.952530802934895,13.947907371446492,False,False,-1.2513589262962341,0.06633056994603415,1.632991558047172,-1.2513589262962341,False,RL
18,1.8,33.866615585871045,17.775297350436453,52.676259565140796,16.34642911378499,18.80964397926975,13.887648675218227,False,False,-1.2051739245653152,-0.3689687379878741,1.632285316198429,-1.2051739245653152,False,RL
19,1.9000000000000001,35.6323884722218,17.657728863507515,54.31759498995724,16.413354248164463,18.685206517735445,13.828864431753757,False,False,-1.1756848692893982,0.6692513437947458,1.6275493951631486,-1.1756848692893982,False,RL
20,2.0,37.38721719004214,17.54828717820347,55.933933301072585,16.163383111153458,18.54671611103044,13.774143589101735,False,False,-1.0944168530404568,-2.499711370110065,1.6350538929984493,-1.0944168530404568,False,RL
21,2.1,39.13037536919118,17.431581791490323,57.55523492527553,16.213016242029425,18.42485955608435,13.715790895745162,False,False,-1.1670538671314716,0.4963313087596788,1.6069567062703802,-1.1670538671314716,False,RL
22,2.2,40.862606608644136,17.32231239452959,59.1823221360475,16.270872107719722,18.319715527403368,13.661156197264795,False,False,-1.0926939696073532,0.578558656902977,1.6128332283313316,-1.0926939696073532,False,RL
23,2.3000000000000003,42.58475155673922,17.22144948095084,60.778367217342996,15.960450812954903,18.193615660603776,13.61072474047542,False,False,-1.008629135787487,-3.1042129476481897,1.620411674739143,-1.008629135787487,False,RL
