reached_target,travel_time,collision,safety_violations,cut_in_happened,cut_out_happened,min_front_distance,mean_front_distance,mean_speed,max_speed,total_reward,mean_abs_acceleration,mean_cbf_correction,max_cbf_correction,cbf_intervention_rate,seed,method,scenario
False,14.8,True,55,False,False,1.5526183368801298,18.01958573257478,21.695717498866962,22.411716813358897,-4310.490533179024,0.2879347938284861,0.0,0.0,0.0,0,PPO without CBF,hard
False,15.100000000000001,True,54,False,False,1.9069437468868955,20.03771130565712,21.252979339712212,23.908901975883794,-4391.763999033549,0.5954584537487647,0.0,0.0,0.0,1,PPO without CBF,hard
False,11.200000000000001,True,70,False,False,1.5738034352411603,13.211498061932874,20.084233827520713,20.96317802493278,-4644.94965413627,0.27939439364173313,0.0,0.0,0.0,2,PPO without CBF,hard
False,31.700000000000003,True,78,False,False,1.7025697486402578,17.965441929906177,22.86197938956562,24.708898824717792,-5827.856240833328,0.4142322381675167,0.0,0.0,0.0,3,PPO without CBF,hard
False,14.0,True,69,False,False,1.953470037900047,15.39341663730006,22.197473879293046,22.992902742441007,-5107.674421362955,0.2488613790801656,0.0,0.0,0.0,4,PPO without CBF,hard
False,12.3,True,24,False,False,1.9937867290780105,28.45946594587544,22.047294069348588,24.336902812268136,-2499.8345760859597,0.865511708408237,0.0,0.0,0.0,5,PPO without CBF,hard
False,16.400000000000002,True,98,False,False,1.9538086158685246,12.465960058928394,21.690240369788114,22.595001895629583,-6963.429955506089,0.19909932630346583,0.0,0.0,0.0,6,PPO without CBF,hard
False,21.200000000000003,True,142,False,False,1.9259009263363964,13.849254817556922,19.37809440874644,21.789745407959686,-9501.690586434417,0.47386800770176213,0.0,0.0,0.0,7,PPO without CBF,hard
False,19.8,True,108,False,False,1.465417398060481,12.572099820419055,20.237335718964214,21.812146775487605,-7663.031674486818,0.4285625445847278,0.0,0.0,0.0,8,PPO without CBF,hard
False,20.700000000000003,True,42,False,False,1.6731709905610046,22.38810011923924,22.28239940694721,24.546425034312517,-3502.553136800082,0.4961807153794174,0.0,0.0,0.0,9,PPO without CBF,hard
False,14.9,True,90,False,False,1.9781164819273727,11.686447310768173,21.357146118698818,21.93157538458667,-6356.057818890467,0.1590800685117624,0.0,0.0,0.0,10,PPO without CBF,hard
False,23.6,True,134,False,False,1.9982598900203925,12.30792251988672,20.871042548363977,21.9761256484647,-9205.977023290206,0.22376620248621223,0.0,0.0,0.0,11,PPO without CBF,hard
False,28.3,True,70,False,False,1.9606743744997175,25.366236148239587,24.38848095605618,27.48288148078142,-5620.87662730827,0.5553848266977139,0.0,0.0,0.0,12,PPO without CBF,hard
False,10.100000000000001,True,32,False,False,1.421806166212889,17.414175635476944,21.88421060495904,22.365770644672146,-2805.5306984419626,0.3357359168631662,0.0,0.0,0.0,13,PPO without CBF,hard
False,19.3,True,97,False,False,1.9764149689684132,15.835966291784016,21.5799068500261,22.74971395912219,-7040.0555328878445,0.2750777611506053,0.0,0.0,0.0,14,PPO without CBF,hard
False,6.2,True,24,False,False,1.594813377424515,15.589571572009353,21.104283646258857,21.47659185438921,-2401.1341999433853,0.3829364304239042,0.0,0.0,0.0,15,PPO without CBF,hard
False,56.7,True,460,False,False,1.897168588120394,10.531032571827163,20.81565601217351,22.367452601671374,-25584.6235949489,0.18932367156791624,0.0,0.0,0.0,16,PPO without CBF,hard
False,32.0,True,80,False,False,1.9404455459318797,17.17655550034366,21.56692259085117,25.52715971840701,-6392.4026910420835,0.5352796765668353,0.0,0.0,0.0,17,PPO without CBF,hard
False,23.5,True,85,False,False,1.3180738518036605,15.34752271486213,21.34343222985295,23.61548721778523,-6407.075839948715,0.46884251248990816,0.0,0.0,0.0,18,PPO without CBF,hard
False,20.6,True,94,False,False,1.6386706606128882,17.125905335678453,19.81804197353768,21.94975672882149,-6637.836231164649,0.6555406260581821,0.0,0.0,0.0,19,PPO without CBF,hard
True,190.70000000000002,False,129,True,True,7.343570768795871,49.428630426383236,20.98162115983611,36.11111111111111,-20792.095008255674,0.8684963481271338,0.17470485223582566,3.3699267908930777,0.14944939695857368,0,PPO + CBF,hard
False,50.800000000000004,True,24,True,False,1.9138128662984855,24.323181847389897,19.855580228911,25.632525650947322,-3035.8094211022817,0.7471436641364554,0.15892749596656033,3.212272954483827,0.07874015748031496,1,PPO + CBF,hard
True,210.70000000000002,False,103,True,True,5.594195698001613,39.33501480801387,18.988828900597607,35.72664487028336,-21242.16058801028,0.9534531490493671,0.1770868095190654,3.901388645172119,0.09112482202183199,2,PPO + CBF,hard
True,199.0,False,155,True,True,7.949513600660566,27.651949420407515,20.10760276890978,25.905619423388092,-18564.315642982605,0.6290684624154473,0.13178904643490555,2.98341965675354,0.1763819095477387,3,PPO + CBF,hard
True,205.60000000000002,False,131,True,True,6.887262152692301,33.410643351341605,19.457880570427083,32.40341324743794,-18824.22433098674,0.7937609922625889,0.19300464997253014,3.5852091312408447,0.13521400778210116,4,PPO + CBF,hard
True,201.8,False,202,True,True,7.821798329547164,31.351080847851993,19.826071579132172,33.21829199737588,-22484.086525269246,0.8447872965362612,0.20250290865222406,3.609005391597748,0.17443012884043607,5,PPO + CBF,hard
True,193.0,False,235,True,True,2.9184684315621325,53.22542899509037,20.72602664236353,36.11111111111111,-27813.966247158067,1.0013647079619257,0.2311973636642433,4.057643830776215,0.21813471502590673,6,PPO + CBF,hard
True,203.3,False,87,True,True,7.708372470273389,36.251648566074174,19.679335044880048,36.11111111111111,-16114.989494837071,0.7939242707129869,0.1306279980933169,3.364145278930664,0.06591244466305952,7,PPO + CBF,hard
False,49.7,True,20,True,False,1.7822496717906233,31.510019848689907,20.367353667671335,26.373719249771465,-5998.953861886598,1.0967060360960288,0.23037975574590613,3.194431960582733,0.14084507042253522,8,PPO + CBF,hard
True,204.4,False,281,True,True,7.089654156312008,40.77659964200356,19.570545520543536,36.11111111111111,-25860.71735715327,0.9070550053629212,0.2307982481452767,3.9580917060375214,0.15949119373776907,9,PPO + CBF,hard
True,200.9,False,158,True,True,7.069293837987061,34.41964289345578,19.913710999521676,35.52854394409134,-22312.25640396034,0.8393293159470814,0.19333884398501922,3.555640995502472,0.14186162269785962,10,PPO + CBF,hard
