method,reached_target_rate,mean_travel_time,collision_rate,avg_safety_violations,avg_too_far_steps,cut_in_rate,mean_cut_in_time,mean_min_front_distance,worst_min_front_distance,mean_front_distance,mean_speed,avg_total_reward,mean_abs_acceleration
Baseline,0.98,197.31400000000002,0.02,23.98,120.38,1.0,53.33200000000001,8.499280909037573,1.9467799131073207,27.5066662632343,19.99102490011666,3813.276247629487,0.742908428826189
CBF,1.0,200.06,0.0,13.82,120.94,1.0,53.324000000000005,8.795934550048614,2.312052933014911,30.702492421429724,20.01135610712489,3987.2556770153924,0.7589225643919394
