reached_target,travel_time,collision,safety_violations,too_far_steps,cut_in_happened,cut_in_time,min_front_distance,mean_front_distance,mean_speed,total_reward,mean_abs_acceleration,seed,method,scenario
True,206.60000000000002,False,16,104,True,54.7,12.117145023106332,25.61375945340167,19.365847366490055,3917.3842261340405,0.9173160153469868,0,Baseline,hard
True,173.70000000000002,False,19,343,True,49.0,11.33683533990029,213.7359564946894,23.044173502587174,3715.073272723802,0.9295050822365675,1,Baseline,hard
True,198.5,False,4,87,True,53.1,11.409876973636074,23.367348611474362,20.15245018760442,4052.5222054147403,0.9721805242000509,2,Baseline,hard
True,201.9,False,12,267,True,50.800000000000004,12.008248060630194,44.93920605067907,19.817233405104588,3762.137454000727,1.0220624161120773,3,Baseline,hard
True,208.9,False,40,211,True,50.400000000000006,5.418567939324248,40.84528943542658,19.154132196626563,3415.528812034238,1.2033327345701996,4,Baseline,hard
True,199.0,False,20,34,True,48.1,10.634370071063927,21.004652964953433,20.10834470168697,4011.5706900444497,0.8383252201321062,5,Baseline,hard
True,205.10000000000002,False,36,102,True,55.300000000000004,6.529973021843489,23.748226122530088,19.50783784757604,3688.0184713665276,1.0548754014930293,6,Baseline,hard
True,198.0,False,27,92,True,53.800000000000004,7.0181897142419984,23.60206398643703,20.207759322899957,3740.118921946357,1.1338593787476043,7,Baseline,hard
True,197.8,False,56,260,True,49.900000000000006,3.6938221222832226,51.881337397458914,20.23114681062323,3309.542636382638,1.0587089791255029,8,Baseline,hard
False,149.0,True,42,0,True,57.800000000000004,1.980642660585545,20.40679481482466,20.161843583576225,1307.937124391373,1.1225979983606595,9,Baseline,hard
True,203.8,False,35,73,True,57.2,7.600664555800904,22.049625758727977,19.63119039455065,3760.8977836840722,0.923044189765512,10,Baseline,hard
True,204.5,False,30,124,True,51.800000000000004,7.471115143104839,25.924027209497492,19.564088333491174,3769.0674177573947,0.9107330603013271,11,Baseline,hard
True,185.5,False,30,180,True,48.7,4.242556914073475,31.894513210744975,21.569987403304992,3715.0482029000495,0.9699781035577673,12,Baseline,hard
True,201.9,False,40,83,True,51.1,3.753627311264495,23.25143952669122,19.820885126710106,3661.9615353246145,0.9752056020895068,13,Baseline,hard
True,199.70000000000002,False,47,166,True,51.7,7.5907032102220455,33.136990197996646,20.03845363757747,3537.8891373691667,0.9835265855270853,14,Baseline,hard
True,206.3,False,37,105,True,58.800000000000004,4.636544978019742,23.684897977863407,19.394236859918394,3597.2700033562987,1.1941431155035538,15,Baseline,hard
True,199.10000000000002,False,0,80,True,48.300000000000004,12.403625230801026,24.006434805834232,20.098488926349418,4103.170299316049,0.8863058410889443,16,Baseline,hard
True,195.3,False,37,237,True,46.7,6.776486838623555,43.6747119332113,20.487679538936717,3510.8252003303137,1.0758862906655167,17,Baseline,hard
True,199.9,False,2,74,True,50.400000000000006,11.50844685834636,22.76219640002133,20.016771021432056,4148.130694930214,0.8407853478893103,18,Baseline,hard
True,198.70000000000002,False,0,201,True,50.300000000000004,11.165059885684968,37.94880036585243,20.137423208021612,3939.8249531433357,1.0787139845009899,19,Baseline,hard
True,195.5,False,46,248,True,50.1,8.630856449182602,46.69519539220084,20.462411856715335,3460.3025119056733,1.016512715898435,20,Baseline,hard
True,203.20000000000002,False,53,117,True,47.800000000000004,8.23121378044857,24.457043547039603,19.68771094273874,3440.8317397726983,1.0945093242799764,21,Baseline,hard
True,211.0,False,11,96,True,62.800000000000004,11.04034953660198,23.58492204158456,18.961889477981792,3920.963059813562,1.0222785524255926,22,Baseline,hard
True,210.70000000000002,False,89,98,True,51.1,3.384639513599268,23.588064142484274,18.98501802452871,3118.2627242269978,1.07703335570038,23,Baseline,hard
True,201.5,False,47,254,True,59.300000000000004,2.658161319563078,41.66795641991464,19.852583141353012,3353.169667091319,1.0880646592600007,24,Baseline,hard
True,209.0,False,40,189,True,51.400000000000006,2.812175617230423,37.14996184422674,19.140826468510504,3611.7728617142384,0.8424312908451951,25,Baseline,hard
True,210.9,False,28,0,True,54.7,8.461453732407335,19.53509327644114,18.972891231720485,3924.9747002570007,0.8719812572867274,26,Baseline,hard
True,180.0,False,25,342,True,54.0,10.20779019139718,206.00163353727433,22.227679400820698,3655.662294592388,0.8541703731773628,27,Baseline,hard
True,203.70000000000002,False,55,178,True,56.900000000000006,10.14256856547513,31.697356264467892,19.642546068141634,3420.6107119456938,0.9687625136140462,28,Baseline,hard
True,197.20000000000002,False,19,227,True,49.800000000000004,10.571066614449364,38.913596608234506,20.29267189628817,3753.099738639965,1.0239538770663963,29,Baseline,hard
True,200.8,False,32,92,True,51.6,6.24466476279963,24.290358738184086,19.927975335818115,3664.670837609624,1.1171320702331475,30,Baseline,hard
True,173.8,False,50,351,True,48.6,8.928440697492192,218.12239311971064,23.01804270402541,3412.567095822707,0.7354436403686198,31,Baseline,hard
True,202.3,False,43,181,True,52.300000000000004,5.883286109156643,35.451880014905534,19.780353199698745,3538.253908639545,0.9720862557645656,32,Baseline,hard
True,203.0,False,28,73,True,54.6,5.9130577032294696,22.381291035820187,19.711809245363483,3897.553122656863,0.8226629985514466,33,Baseline,hard
True,211.20000000000002,False,14,109,True,49.1,11.222150067062103,23.689471957237696,18.9498309579206,3877.6641704079775,1.0685130244841496,34,Baseline,hard
True,208.4,False,38,111,True,55.5,4.930490118153102,24.24315446946561,19.195212732426967,3629.7900866072523,1.0787829239271767,35,Baseline,hard
True,200.4,False,20,241,True,50.1,11.832944639994707,46.50388560049471,19.96199267321567,3790.140421053905,0.8619149007354426,36,Baseline,hard
True,199.60000000000002,False,0,169,True,50.800000000000004,12.21106421779632,30.17971737281522,20.042741831281948,3957.376218676534,1.0829081756794425,37,Baseline,hard
True,205.0,False,26,130,True,53.1,9.102293989093596,26.051671639682578,19.517115603624244,3779.2629216128616,0.9534373266574723,38,Baseline,hard
True,206.20000000000002,False,0,71,True,47.400000000000006,12.18673995035283,21.68973559804526,19.40594431981382,4076.1470614003238,1.034225980839403,39,Baseline,hard
True,199.70000000000002,False,40,302,True,53.300000000000004,2.893173479171878,58.647191251772014,20.03330420388381,3436.443281720971,0.9806068184075277,40,Baseline,hard
True,196.9,False,5,63,True,51.300000000000004,12.367664453292036,22.034522839424667,20.323789835509533,4079.806820643478,0.9625570391741837,41,Baseline,hard
True,204.9,False,18,127,True,57.6,10.888765855540441,26.384158960920978,19.525391338711643,3811.6971125534164,1.02242795015338,42,Baseline,hard
True,199.10000000000002,False,38,60,True,51.800000000000004,11.024474983550704,21.607077971538818,20.097028757373383,3758.63189314195,0.9473336371209025,43,Baseline,hard
False,50.800000000000004,True,4,0,True,50.400000000000006,1.7752303370889422,20.097223857995218,19.8319762534766,-141.2267683976392,1.1965121084486876,44,Baseline,hard
True,200.9,False,44,156,True,50.0,7.646689499262266,30.17605243570325,19.91783091288242,3495.472455012149,1.0942549205570087,45,Baseline,hard
True,198.4,False,18,235,True,61.400000000000006,10.074430920052919,43.45025173782711,20.163685644105623,3724.655241928169,1.0583194222166523,46,Baseline,hard
True,204.8,False,43,170,True,54.7,8.250085511754605,30.92379139155848,19.53748306763494,3530.2621688377703,1.0444868693728608,47,Baseline,hard
True,198.0,False,35,207,True,49.7,6.128779650743127,38.202061887029195,20.210090472599475,3686.344634604952,0.8004279487318303,48,Baseline,hard
True,206.10000000000002,False,13,94,True,58.800000000000004,12.267620925545998,24.505300197820187,19.416016220128583,3890.0488250034605,1.0654404750172897,49,Baseline,hard
True,206.60000000000002,False,8,104,True,54.7,12.109607560849554,25.62890331995138,19.365800966338483,3993.814479645531,0.9177153920619555,0,CBF,hard
True,173.70000000000002,False,7,343,True,49.0,11.488042363711202,213.78113769614782,23.040419625027948,3829.024888867354,0.9334484743811169,1,CBF,hard
True,198.5,False,1,87,True,53.1,11.409746481589082,23.3653538801822,20.152528726955925,4081.8009523007513,0.9715869017632242,2,CBF,hard
True,201.9,False,6,267,True,50.800000000000004,12.009859186257927,44.96306597798651,19.817218356212077,3812.8553861192195,1.0369985141158988,3,CBF,hard
True,208.9,False,23,211,True,50.400000000000006,5.418790432902711,40.99647462645175,19.154150950118755,3555.1041334798083,1.241263762565821,4,CBF,hard
True,199.0,False,8,34,True,48.1,10.6341200335429,21.073308063420853,20.10827419189663,4114.42556418743,0.8665829145728644,5,CBF,hard
True,205.10000000000002,False,17,102,True,55.300000000000004,6.529973021843489,23.868627451465134,19.50792037171176,3856.2894682380825,1.0799122379327157,6,CBF,hard
True,198.0,False,17,92,True,53.800000000000004,7.0381657383327365,23.87963395476497,20.207601844364508,3820.693165184173,1.157777777777778,7,CBF,hard
True,197.8,False,22,259,True,49.900000000000006,3.6939474466516913,52.0387313393889,20.231164527244154,3636.5753434888943,1.0627401415571287,8,CBF,hard
True,205.9,False,21,0,True,57.900000000000006,5.267821241584443,20.095599152371612,19.434430078388804,3949.2901531402554,1.0212238950947063,9,CBF,hard
True,203.8,False,28,73,True,57.2,7.594287731526492,22.416086843033273,19.63117560545162,3800.0345883910404,0.9661923454367026,10,CBF,hard
True,204.5,False,12,124,True,51.800000000000004,7.471499036095452,26.026412417572995,19.564037190714803,3925.4756055011776,0.9439608801955991,11,CBF,hard
True,193.10000000000002,False,16,59,True,49.300000000000004,3.8447038259953388,21.78246357221132,20.71871765641663,3984.595379454051,0.9233039875712067,12,CBF,hard
True,201.9,False,26,83,True,51.1,3.751857730983943,23.4847208705631,19.820938418917326,3770.4744667794075,1.0151064883605745,13,CBF,hard
