reached_target,travel_time,collision,safety_violations,cut_in_happened,cut_out_happened,min_front_distance,mean_front_distance,mean_speed,max_speed,total_reward,mean_abs_acceleration,mean_cbf_correction,max_cbf_correction,cbf_intervention_rate,seed,method,scenario
False,17.8,True,85,False,False,1.9056166939772083,15.605835483284707,21.509309745119978,22.411716813358897,-6266.502441133539,0.24504960483873728,0.0,0.0,0.0,0,PPO without CBF,normal
False,55.1,True,293,False,False,1.658571219166106,14.564738519144443,21.722672760174152,24.531842001681227,-19200.369888111585,0.3614163440111649,0.0,0.0,0.0,1,PPO without CBF,normal
False,9.5,True,24,False,False,1.6734995498368903,17.86273656625312,20.93612147703013,21.72211380074077,-2272.844627648578,0.4639207043637195,0.0,0.0,0.0,2,PPO without CBF,normal
False,19.8,True,39,False,False,1.8849746443932531,19.478478008078174,22.544775517479607,24.367602626119854,-3478.934696960453,0.3804482321660877,0.0,0.0,0.0,3,PPO without CBF,normal
False,16.400000000000002,True,93,False,False,1.9898471797799857,13.523144685882777,21.955985426607533,22.992902742441007,-6707.055712864974,0.22976688613176516,0.0,0.0,0.0,4,PPO without CBF,normal
False,20.1,True,72,False,False,1.919723682890492,21.886790670508198,22.29076551788795,24.368195656181832,-5624.923491469432,0.46756993661652757,0.0,0.0,0.0,5,PPO without CBF,normal
False,16.400000000000002,True,98,False,False,1.9538086158685246,12.465960058928394,21.690240369788114,22.595001895629583,-6963.429955506089,0.19909932630346583,0.0,0.0,0.0,6,PPO without CBF,normal
False,12.8,True,22,False,False,1.6743471579810603,24.59509972224269,21.261776081487056,22.602802577075177,-2393.8297765498455,0.5701109192391141,0.0,0.0,0.0,7,PPO without CBF,normal
False,21.8,True,92,False,False,1.5558497374868239,19.471298632483823,23.20729255908657,25.411134313022085,-6153.119678038884,0.4593473187850851,0.0,0.0,0.0,8,PPO without CBF,normal
False,11.4,True,24,False,False,1.9410971801730454,23.870652401471546,20.689603923021437,22.29983502373893,-2351.594538233612,0.6907902831042105,0.0,0.0,0.0,9,PPO without CBF,normal
False,16.400000000000002,True,105,False,False,1.991663339466811,10.828224334132711,21.26544701011934,21.93157538458667,-7360.892219296924,0.1529210780982775,0.0,0.0,0.0,10,PPO without CBF,normal
False,23.6,True,134,False,False,1.9982598900203925,12.30792251988672,20.871042548363977,21.9761256484647,-9205.977023290206,0.22376620248621223,0.0,0.0,0.0,11,PPO without CBF,normal
False,15.4,True,24,False,False,1.6285365258379443,30.960925907520846,23.260757240986155,26.342266817118375,-2651.327778741215,0.9036630322348567,0.0,0.0,0.0,12,PPO without CBF,normal
False,15.9,True,90,False,False,1.9407229598650133,13.009082421876087,21.592257097810766,22.365770644672146,-6373.407567622911,0.2014132946061517,0.0,0.0,0.0,13,PPO without CBF,normal
