method,reached_target_rate,mean_travel_time,collision_rate,avg_safety_violations,avg_too_far_steps,cut_in_rate,mean_cut_in_time,mean_min_front_distance,worst_min_front_distance,mean_front_distance,mean_speed,avg_total_reward,mean_abs_acceleration
Baseline,0.96,196.524,0.04,29.04,150.28,1.0,52.558,8.144176500880903,1.7752303370889422,41.18800575740273,19.986076343867236,3584.382611240924,0.9970051655441919
CBF,0.96,196.192,0.04,14.98,146.38,1.0,52.698,8.316158333819079,0.21610857193354605,40.9516977575852,19.993443478527922,3711.074816947692,1.013493246305947
