reached_target,travel_time,collision,safety_violations,too_far_steps,cut_in_happened,cut_in_time,min_front_distance,mean_front_distance,mean_speed,total_reward,mean_abs_acceleration,seed,method,scenario
True,190.60000000000002,False,42,225,True,48.800000000000004,6.79297992193608,40.056716995964535,20.989520506063187,3635.417422798116,0.7155661667796811,0,Baseline,normal
True,196.70000000000002,False,27,120,True,50.800000000000004,10.186748705806622,26.386363091441947,20.339746432854398,3865.1613033605563,0.7761713906187028,1,Baseline,normal
True,199.9,False,32,115,True,52.800000000000004,6.834825145870809,25.372905808118645,20.014206414343043,3772.130499519637,0.8382675669282039,2,Baseline,normal
True,197.4,False,55,0,True,51.6,6.9968868992932585,19.98492806937009,20.27134385493618,3810.2491442320766,0.5572534868692648,3,Baseline,normal
True,200.60000000000002,False,0,162,True,49.900000000000006,11.444305355590586,30.993672245276844,19.942927346197866,4071.9885271053017,0.8150303617579647,4,Baseline,normal
True,196.20000000000002,False,27,168,True,53.0,10.879075228318243,31.921600850687053,20.396129609220505,3754.567580153298,0.8992326573465659,5,Baseline,normal
True,205.60000000000002,False,30,29,True,54.5,3.1764843110147467,20.24430363142666,19.460219750968644,4011.526488307941,0.5627239129610463,6,Baseline,normal
True,198.0,False,46,157,True,55.900000000000006,3.6683386562522173,29.678632941815014,20.209293955171407,3605.1110712058735,0.7794062807504558,7,Baseline,normal
True,199.0,False,45,60,True,47.800000000000004,3.8089447860091923,21.605019664857192,20.112952314747318,3785.605960784799,0.7280428466724054,8,Baseline,normal
True,198.70000000000002,False,40,204,True,54.7,9.058649693999996,38.071021480375514,20.13301737753097,3605.569723576924,0.8696407952878653,9,Baseline,normal
True,202.8,False,0,108,True,55.5,11.471484038421295,23.907169237359476,19.731289030296367,4101.563416752628,0.8080779225428011,10,Baseline,normal
True,197.4,False,19,88,True,53.400000000000006,11.44430750018546,22.490601382899587,20.272303742771115,3995.639465180955,0.7588187422154692,11,Baseline,normal
True,199.9,False,34,68,True,48.7,4.242555733814243,21.919085271118753,20.01230321300534,3783.50677859982,0.8793718799915031,12,Baseline,normal
True,198.8,False,0,93,True,59.1,11.385957953773868,24.541754553467864,20.122031846639835,4217.573333207883,0.5437777554473449,13,Baseline,normal
True,198.0,False,39,220,True,51.6,9.197703700778902,40.26498307205685,20.21194816759098,3591.8731026057867,0.8434972530983463,14,Baseline,normal
True,204.8,False,13,118,True,53.6,12.32812940229735,24.88509511749769,19.53607097705568,4027.730596531781,0.695204826725103,15,Baseline,normal
True,197.70000000000002,False,20,157,True,49.800000000000004,11.311741238692662,29.114699900822675,20.232686966551004,3867.382194502993,0.812415156595538,16,Baseline,normal
True,207.5,False,3,0,True,54.5,11.854556528597868,19.897595563787497,19.2804576428077,4233.829798718803,0.7575556890508833,17,Baseline,normal
True,196.4,False,32,146,True,51.900000000000006,7.85297740510714,27.76882441815317,20.37127066085227,3839.483655280474,0.6356870619380512,18,Baseline,normal
True,207.60000000000002,False,17,91,True,53.800000000000004,11.500678830452216,23.197549607654118,19.27461400775904,4017.623125224475,0.6763736354313864,19,Baseline,normal
True,194.10000000000002,False,24,157,True,65.9,9.374972271602473,30.764152143492534,20.6091628220218,3874.630511975281,0.7071843837122281,20,Baseline,normal
True,200.10000000000002,False,39,101,True,53.400000000000006,2.3115128926355055,23.730201778927995,19.99728119403301,3763.009621156286,0.7580619376239556,21,Baseline,normal
