step,time,x_ego,v_ego,x_front,v_front,lane_front,x_cut_in,v_cut_in,lane_cut_in,front_type,front_id,distance_front,v_front_eff,gap_to_v1,gap_to_v2,safe_distance,soft_distance,hard_distance,soft_barrier_distance,hard_barrier_distance,target_gap,gap_error_to_target,gap_excess,soft_violation,hard_violation,front_accel_est,desired_closing_speed,closing_speed,a_ref,too_far,cut_in_happened,cut_in_active,cut_in_this_step,cut_in_left_this_step,cut_in_time,cut_in_leave_time,front_event_type,front_event_timer,cut_in_event_type,cut_in_event_timer,collision,safety_violation,reached_target,a_cmd,a_ego,prev_a_ego,delta_a_ego,a_front,a_cut_in,reward,a_nom,a_ppo_before_cbf,a_cbf_cmd,cbf_correction,abs_cbf_correction,use_cbf,method,scenario
21,2.1,42.06696063981041,20.440728062197422,69.74062905180355,18.484909372145797,0,49.13788233714663,18.351176941268218,1,front,1,27.67366841199314,18.484909372145797,27.67366841199314,7.0709216973362174,19.220255527370078,19.220255527370078,12.718909773810397,19.220255527370078,12.718909773810397,20.720255527370078,6.953412884623063,6.953412884623063,0.0,0.0,0.7192501191386214,0.13906825769246126,1.9558186900516255,-0.6064348067961647,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.3886420428752899,0.4053211017141317,0.41088078799374567,-0.005559686279613951,0.7192501191386116,0.2569252097800575,-4.1549144820730195,0.3886420428752899,0.3886420428752899,0.3886420428752899,0.0,0.0,False,PPO without CBF,normal
22,2.2,44.11503802186658,20.480773820561694,71.59528835662064,18.546593048170894,0,50.98091853879304,18.430362016464134,1,front,1,27.48025033475406,18.546593048170894,27.48025033475406,6.86588051692646,19.222645064727818,19.222645064727818,12.715615455109234,19.222645064727818,12.715615455109234,20.722645064727818,6.757605270026243,6.757605270026243,0.0,0.0,0.6168367602509761,0.13515210540052486,1.9341807723907998,-0.6249444863677616,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.38586702942848206,0.40045758364271933,0.4053211017141317,-0.004863518071412387,0.616836760250964,0.7918507519591607,-4.074560466916362,0.38586702942848206,0.38586702942848206,0.38586702942848206,0.0,0.0,False,PPO without CBF,normal
23,2.3000000000000003,46.16707380867817,20.520357868115884,73.45142734924164,18.56138992620999,0,52.83025195142376,18.49333412630722,1,front,1,27.284353540563473,18.56138992620999,27.284353540563473,6.663178142745593,19.271182662775423,19.271182662775423,12.749299607365273,19.271182662775423,12.749299607365273,20.771182662775423,6.513170877788049,6.513170877788049,0.0,0.0,0.14796878039096129,0.13026341755576099,1.9589679419058932,-0.756615571909773,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.38198915123939514,0.3958404755418883,0.40045758364271933,-0.004617108100831047,0.1479687803909454,0.6297210984308865,-4.158324871693611,0.38198915123939514,0.38198915123939514,0.38198915123939514,0.0,0.0,False,PPO without CBF,normal
24,2.4000000000000004,48.223009254554036,20.559354458758705,75.30925501909208,18.578276698504336,0,54.68734381473795,18.570918633141915,1,front,1,27.08624576453804,18.578276698504336,27.08624576453804,6.464334560183914,19.31669043550959,19.31669043550959,12.780636268769042,19.31669043550959,12.780636268769042,20.81669043550959,6.269555329028453,6.269555329028453,0.0,0.0,0.1688677229434532,0.12539110658056907,1.9810777602543688,-0.7646290644367185,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.37234219908714294,0.38996590642820195,0.3958404755418883,-0.005874569113686334,0.168867722943436,0.7758450683469199,-4.135508502299129,0.37234219908714294,0.37234219908714294,0.37234219908714294,0.0,0.0,False,PPO without CBF,normal
25,2.5,50.282776769951205,20.597675153971704,77.17456684152911,18.6531182243703,0,56.549101434631055,18.617576198931012,1,front,1,26.89179007157791,18.6531182243703,26.89179007157791,6.26632466467985,19.303162021984427,19.303162021984427,12.76483184757122,19.303162021984427,12.76483184757122,20.803162021984427,6.088628049593481,6.088628049593481,0.0,0.0,0.7484152586596338,0.12177256099186963,1.9445569296014042,-0.6057503249862115,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.3629300892353058,0.3832069521299779,0.38996590642820195,-0.00675895429822404,0.748415258659638,0.4665756578909618,-3.888515124216552,0.3629300892353058,0.3629300892353058,0.3629300892353058,0.0,0.0,False,PPO without CBF,normal
26,2.6,52.3463204252523,20.63543655301097,79.0458294722514,18.712626307222898,0,58.415710731904284,18.666092972732255,1,front,1,26.699509046999097,18.712626307222898,26.699509046999097,6.069390306651982,19.30407217759465,19.30407217759465,12.760650990184295,19.30407217759465,12.760650990184295,20.80407217759465,5.8954368694044454,5.8954368694044454,0.0,0.0,0.5950808285259868,0.11790873738808891,1.922810245788071,-0.6369060057361753,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.36083510518074036,0.3776139903926685,0.3832069521299779,-0.005592961737309388,0.5950808285260041,0.48516773801241786,-3.816547902568914,0.36083510518074036,0.36083510518074036,0.36083510518074036,0.0,0.0,False,PPO without CBF,normal
27,2.7,54.41358879796842,20.672683727161196,80.91929718981606,18.7346771756466,0,60.28903111082769,18.733203789234075,1,front,1,26.50570839184764,18.7346771756466,26.50570839184764,5.8754423128592705,19.341616787811315,19.341616787811315,12.785844545718096,19.341616787811315,12.785844545718096,20.841616787811315,5.664091604036326,5.664091604036326,0.0,0.0,0.22050868423701075,0.11328183208072652,1.9380065515145972,-0.7405105404678257,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.3570449948310852,0.3724717415022727,0.3776139903926685,-0.0051422488903958286,0.22050868423701175,0.6711081650182045,-3.8607816965152213,0.3570449948310852,0.3570449948310852,0.3570449948310852,0.0,0.0,False,PPO without CBF,normal
28,2.8000000000000003,56.48452243814955,20.70933640181121,82.80184193773745,18.825447479213807,0,62.16557345745824,18.765423466305464,1,front,1,26.317319499587903,18.825447479213807,26.317319499587903,5.68105101930869,19.309490763684128,19.309490763684128,12.755378878711847,19.309490763684128,12.755378878711847,20.809490763684128,5.507828735903775,5.507828735903775,0.0,0.0,0.9077030356720783,0.11015657471807551,1.8838889225974036,-0.546468568316111,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.34869176149368286,0.36652674650012523,0.3724717415022727,-0.005944995002147457,0.9077030356720759,0.32219677071390107,-3.568166655760508,0.34869176149368286,0.34869176149368286,0.34869176149368286,0.0,0.0,False,PPO without CBF,normal
29,2.9000000000000004,58.55907757961065,20.745551414611054,84.68464507921112,18.82803141473666,0,64.04922967157862,18.836562141203764,1,front,1,26.12556749960047,18.82803141473666,26.12556749960047,5.490152091967964,19.364850848641026,19.364850848641026,12.794958995013383,19.364850848641026,12.794958995013383,20.864850848641026,5.260716650959445,5.260716650959445,0.0,0.0,0.02583935522853409,0.10521433301918891,1.9175199998743935,-0.7854044863483911,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.3490202724933624,0.36215012799843455,0.36652674650012523,-0.004376618501690688,0.02583935522854275,0.7113867489829874,-3.7443492655833706,0.3490202724933624,0.3490202724933624,0.3490202724933624,0.0,0.0,False,PPO without CBF,normal
30,3.0,60.63719512398556,20.7811754437491,86.57233400687709,18.87688927665959,0,65.93217183344343,18.82942161864821,1,front,1,25.935138882891522,18.87688927665959,25.935138882891522,5.29497670945787,19.372991433338967,19.372991433338967,12.796840338983792,19.372991433338967,12.796840338983792,20.872991433338967,5.062147449552555,5.062147449552555,0.0,0.0,0.488578619229294,0.1012429489910511,1.9042861670895093,-0.6664451298139962,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.33851078152656555,0.3562402913804673,0.36215012799843455,-0.005909836617967235,0.4885786192293006,-0.07140522555552375,-3.5651948290261575,0.33851078152656555,0.33851078152656555,0.33851078152656555,0.0,0.0,False,PPO without CBF,normal
